orden,municipio,departamento
298,El Cocuy,Boyacá
299,El Colegio,Cundinamarca
300,El Copey,Cesar
301,El Doncello,Caquetá
302,El Dorado,Meta
303,El Dovio,Valle Del Cauca
304,El Espino,Boyacá
305,El Guacamayo,Santander
306,El Guamo,Bolívar
307,El Litoral Del San Juan,Chocó
308,El Molino,La Guajira
309,El Paso,Cesar
310,El Paujíl,Caquetá
311,El Peñol,Nariño
312,El Peñón,Bolívar
313,El Peñón,Cundinamarca
314,El Peñón,Santander
315,El Piñón,Magdalena
316,El Playón,Santander
317,El Retén,Magdalena
318,El Retorno,Guaviare
319,El Roble,Sucre
320,El Rosal,Cundinamarca
321,El Rosario,Nariño
322,El Santuario,Antioquia
323,El Tablón De Gómez,Nariño
324,El Tambo,Cauca
325,El Tambo,Nariño
326,El Tarra,Norte De Santander
327,El Zulia,Norte De Santander
328,Elías,Huila
329,Encino,Santander
330,Enciso,Santander
331,Entrerríos,Antioquia
332,Envigado,Antioquia
333,Espinal,Tolima
334,Facatativá,Cundinamarca
335,Falan,Tolima
336,Filadelfia,Caldas
337,Filandia,Quindio
338,Firavitoba,Boyacá
339,Flandes,Tolima
340,Florencia,Caquetá
341,Florencia,Cauca
342,Floresta,Boyacá
343,Florián,Santander
344,Florida,Valle Del Cauca
345,Floridablanca,Santander
346,Fómeque,Cundinamarca
347,Fonseca,La Guajira
348,Fortul,Arauca
349,Fosca,Cundinamarca
350,Francisco Pizarro,Nariño
351,Fredonia,Antioquia
352,Fresno,Tolima
353,Frontino,Antioquia
354,Fuente De Oro,Meta
355,Fundación,Magdalena
356,Funes,Nariño
357,Funza,Cundinamarca
358,Fúquene,Cundinamarca
359,Fusagasugá,Cundinamarca
360,Gachalá,Cundinamarca
361,Gachancipá,Cundinamarca
362,Gachantivá,Boyacá
363,Gachetá,Cundinamarca
364,Galán,Santander
365,Galapa,Atlántico
366,Galeras,Sucre
367,Gama,Cundinamarca
368,Gamarra,Cesar
369,Gámbita,Santander
370,Gámeza,Boyacá
371,Garagoa,Boyacá
372,Garzón,Huila
373,Génova,Quindio
374,Gigante,Huila
375,Ginebra,Valle Del Cauca
376,Giraldo,Antioquia
377,Girardot,Cundinamarca
378,Girardota,Antioquia
379,Girón,Santander
380,Gómez Plata,Antioquia
381,González,Cesar
382,Gramalote,Norte De Santander
383,Granada,Antioquia
384,Granada,Cundinamarca
385,Granada,Meta
386,Guaca,Santander
387,Guacamayas,Boyacá
388,Guacarí,Valle Del Cauca
389,Guachené,Cauca
390,Guachetá,Cundinamarca
391,Guachucal,Nariño
392,Guadalajara De Buga,Valle Del Cauca
393,Guadalupe,Antioquia
394,Guadalupe,Huila
395,Guadalupe,Santander
396,Guaduas,Cundinamarca
397,Guaitarilla,Nariño
398,Gualmatán,Nariño
399,Guamal,Magdalena
400,Guamal,Meta
401,Guamo,Tolima
402,Guapí,Cauca
403,Guapotá,Santander
404,Guaranda,Sucre
405,Guarne,Antioquia
406,Guasca,Cundinamarca
407,Guatapé,Antioquia
408,Guataquí,Cundinamarca
409,Guatavita,Cundinamarca
410,Guateque,Boyacá
411,Guática,Risaralda
412,Guavatá,Santander
413,Guayabal De Síquima,Cundinamarca
414,Guayabetal,Cundinamarca
415,Guayatá,Boyacá
416,Güepsa,Santander
417,Güicán,Boyacá
418,Gutiérrez,Cundinamarca
419,Hacarí,Norte De Santander
420,Hatillo De Loba,Bolívar
421,Hato,Santander
422,Hato Corozal,Casanare
423,Hatonuevo,La Guajira
424,Heliconia,Antioquia
425,Herrán,Norte De Santander
426,Herveo,Tolima
427,Hispania,Antioquia
428,Hobo,Huila
429,Honda,Tolima
430,Ibagué,Tolima
431,Icononzo,Tolima
432,Iles,Nariño
433,Imués,Nariño
434,Inírida,Guainía
435,Inzá,Cauca
436,Ipiales,Nariño
437,Íquira,Huila
438,Isnos,Huila
439,Istmina,Chocó
440,Itagüí,Antioquia
441,Ituango,Antioquia
442,Iza,Boyacá
443,Jambaló,Cauca
444,Jamundí,Valle Del Cauca
445,Jardín,Antioquia
446,Jenesano,Boyacá
447,Jericó,Antioquia
448,Jericó,Boyacá
449,Jerusalén,Cundinamarca
450,Jesús María,Santander
451,Jordán,Santander
452,Juan De Acosta,Atlántico
453,Junín,Cundinamarca
454,Juradó,Chocó
455,La Apartada,Córdoba
456,La Argentina,Huila
457,La Belleza,Santander
458,La Calera,Cundinamarca
459,La Capilla,Boyacá
460,La Ceja,Antioquia
461,La Celia,Risaralda
462,La Cruz,Nariño
463,La Cumbre,Valle Del Cauca
464,La Dorada,Caldas
465,La Esperanza,Norte De Santander
466,La Estrella,Antioquia
467,La Florida,Nariño
468,La Gloria,Cesar
469,La Jagua De Ibirico,Cesar
470,La Jagua Del Pilar,La Guajira
471,La Llanada,Nariño
472,La Macarena,Meta
473,La Merced,Caldas
474,La Mesa,Cundinamarca
475,La Montañita,Caquetá
476,La Palma,Cundinamarca
477,La Paz,Cesar
478,La Paz,Santander
